Comment,Description,Designator,Footprint,LibRef,Quantity

"1-406541-1","ModJack,RightAngle,8Position,Cat5 TE Connectivity Female Cat5 RJ45 Connector, Right Angle, Through Hole Mount,","B1, B2","1-406541-1_1","1-406541-1","2"
"100nF","X7R 50V 5%","C1, C2, C3, C4, C5, C8, C10, C11, C12, C15, C16, C17","CAPC0603(1608)55_N","3028","12"
"22pF","Capacitor","C6, C7","CAPC0603(1608)55_N","3934","2"
"33uF","50V, Elektrolytt","C9","CAPPR20D05H11","3290","1"
"15pF","NP0 50V 5%","C13, C14","CAPC0603(1608)55_N","3026","2"
"TXCAN","","D1","I_LEDC0603(1608)_N","2208","1"
"RXCAN","","D2","I_LEDC0603(1608)_N","2208","1"
"RX1BF","","D3","I_LEDC0603(1608)_N","2208","1"
"RX0BF","","D4","I_LEDC0603(1608)_N","2208","1"
"SMD LED Red","","D5","I_LEDC0603(1608)_N","2209","1"
"ISP","","J1","HDRV6W64P254_2X3_762X508X900B","3187","1"
"DS18B20","","J2","HDRV3W64P254_1X3_762X254X900B","2430","1"
"Buzzer","","J3","HDRV2W64P254_1X2_508X254X900B","2429","1"
"MQ5","","J4","HDRV4W64P254_1X4_1016X254X900B","2431","1"
"12V supply","","J5","FCI-20020110-C021A01LF","2218","1"
"DS18B20","","J6, J7","CTB932HD_4","2281","2"
"I2C/Screen","","J8, J9","HDRV4W64P254_1X4_1016X254X900B","2431","2"
"Water sensor","","J10","HDRV3W64P254_1X3_762X254X900B","2430","1"
"Joystick","","J11","HDRV5W64P254_1X5_1270X254X900B","2432","1"
"IRF9540","MOSFET P-Kanal","Q1","TO-220-3P","1529","1"
"60R","0.1W 1% Thick film resistor","R1","RESC0603(1608)_N","3421","1"
"4k7","0.1W 1% Thick film resistor","R2","RESC0603(1608)_N","3457","1"
"100R","0.1W 1% Thick film resistor","R3","RESC0603(1608)_N","3416","1"
"10K","0.1W 1% Thick film resistor","R4, R5, R6, R7, R8, R9, R10, R11, R12, R13","RESC0603(1608)_N","2444","10"
"MCP2551","CAN TRANCEIVER","U1","SOIC127P590X363-8N","2049","1"
"MCP2515","CAN CONTROLLER","U2","SOIC127P940X265-18N","2048","1"
"ATmega2560-16AU","8-bit AVR Microcontroller, 4.5-5.5V, 256KB Flash, 4KB EEPROM, 8KB SRAM, 86 GPIO pins, 100-pin TQFP, Industrial Grade (-40°C to 85°C), Pb-Free","U3","100A_N","ATmega2560-16AU","1"
"LM78L05","Voltage Regulator","U4","TO-220-3P","1429","1"
"TLV1117-33","3,3V Low dropout regulator","U5","SOT230P700X180-4N","2386","1"
"USB_CONNECTOR_5P","Micro USB Type B","USB_pwr1","105017-0001","4034","1"
"Krystalloscillator","4MHz","X1","CrystalTH","3915","1"
"20Mhz","20MHz","X2","CrystalTH","3915","1"
